path,status,query_used_or_tried,source_url,note
assets/images/places/zaghouan_activity_8.jpg,downloaded,Zaghouan Tunisia outdoor activity adventure travel photography,https://images.pexels.com/photos/17492434/pexels-photo-17492434.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_artisan_25.jpg,downloaded,Zaghouan Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27697059/pexels-photo-27697059.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_artisan_26.jpg,downloaded,Zaghouan Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27697059/pexels-photo-27697059.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_artisan_5.jpg,downloaded,Zaghouan Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27697059/pexels-photo-27697059.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_artisan_6.jpg,downloaded,Zaghouan Tunisia artisan workshop handmade travel photography,https://images.pexels.com/photos/27697059/pexels-photo-27697059.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_museum_29.jpg,downloaded,Zaghouan Tunisia museum heritage architecture travel photography,https://images.pexels.com/photos/25254938/pexels-photo-25254938.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_museum_9.jpg,downloaded,Zaghouan Tunisia museum heritage architecture travel photography,https://images.pexels.com/photos/25254938/pexels-photo-25254938.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_naturespot_11.jpg,downloaded,Zaghouan Tunisia nature panorama travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_naturespot_31.jpg,downloaded,Zaghouan Tunisia nature panorama travel photography,https://images.pexels.com/photos/15253356/pexels-photo-15253356.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_restaurant_23.jpg,downloaded,Zaghouan Tunisia traditional food table travel photography,https://images.pexels.com/photos/8644549/pexels-photo-8644549.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_restaurant_24.jpg,downloaded,Zaghouan Tunisia traditional food table travel photography,https://images.pexels.com/photos/8644549/pexels-photo-8644549.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_restaurant_3.jpg,downloaded,Zaghouan Tunisia traditional food table travel photography,https://images.pexels.com/photos/8644549/pexels-photo-8644549.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_restaurant_4.jpg,downloaded,Zaghouan Tunisia traditional food table travel photography,https://images.pexels.com/photos/8644549/pexels-photo-8644549.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_transport_10.jpg,downloaded,Zaghouan Tunisia local transport street travel photography,https://images.pexels.com/photos/27999306/pexels-photo-27999306.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/places/zaghouan_transport_30.jpg,downloaded,Zaghouan Tunisia local transport street travel photography,https://images.pexels.com/photos/27999306/pexels-photo-27999306.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
assets/images/regions/ariana_cover.jpg,downloaded,Ariana Tunisia cityscape culture travel photography,https://images.pexels.com/photos/32465895/pexels-photo-32465895.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,
